Wells;SampleID;Zones;Porosity;Permeability_Kl;Rt_Sw100;FF;Temp;Rw;Salinity;Condition;Rock Pressure;Pore Pressure
3PO;24872-18;AC9;21.0497823;36.199;6.662755925;17.90407595;20;0.372136263;18;AC;;
3PO;24873-18;AC9;20.86946744;20.499;6.667664734;17.91726684;20;0.372136263;18;AC;;
3PO;24874-18;AC9;20.63999631;30.435;6.724908367;18.07109123;20;0.372136263;18;AC;;
3PO;24875-18;AC9;20.06973029;17.411;7.078642938;19.02164243;20;0.372136263;18;AC;;
3PO;24877-18;AC9;18.55117229;4.674;8.241658036;22.14688232;20;0.372136263;18;AC;;
3PO;24878-18;AC9;17.48799456;3.531;8.997534437;24.17806411;20;0.372136263;18;AC;;
3PO;24879-18;AC9;21.34456453;50.251;6.508937546;17.49073709;20;0.372136263;18;AC;;
3PO;24880-18;AC9;20.87043679;35.955;6.355188059;17.07758335;20;0.372136263;18;AC;;
3PO;24881-18;AC9;21.17205835;42.505;6.406923583;17.21660642;20;0.372136263;18;AC;;
3PO;24882-18;AC9;21.50082245;51.264;6.164173932;16.56429254;20;0.372136263;18;AC;;
3PO;24883-18;AC9;21.40884928;50.016;6.161926094;16.55825217;20;0.372136263;18;AC;;
3PO;24884-18;AC9;21.1546727;49.251;6.428518864;17.27463699;20;0.372136263;18;AC;;
3PO;24885-18;AC9;21.14808496;52.458;6.340987128;17.03942279;20;0.372136263;18;AC;;
3PO;24886-18;AC9;19.20138784;6.581;7.840760256;21.06959473;20;0.372136263;18;AC;;
3PO;24889-18;AC9;19.1599554;4.427;7.794965431;20.94653544;20;0.372136263;18;AC;;
3PO;24890-18;AC9;19.92166335;4.209;7.393304948;19.86719832;20;0.372136263;18;AC;;
3PO;24891-18;AC9;19.74246336;7.219;7.262268106;19.51507772;20;0.372136263;18;AC;;
3PO;24892-18;AC9;20.93365958;28.459;6.6678945;17.91788426;20;0.372136263;18;AC;;
3PO;24893-18;AC9;21.05545155;31.08;6.976510398;18.74719312;20;0.372136263;18;AC;;
3PO;24894-18;AC9;20.89460394;22.157;6.468055079;17.38087823;20;0.372136263;18;AC;;
3PO;24896-18;AC9;17.7556631;1.455;8.495829867;22.82988975;20;0.372136263;18;AC;;
3PO;24897-18;AC9;22.00885313;78.332;5.997944709;16.11760341;20;0.372136263;18;AC;;
3PO;24898-18;AC9;21.15045066;31.552;6.575440554;17.66944316;20;0.372136263;18;AC;;
3PO;24899-18;AC9;21.30135586;31.952;6.522286816;17.52660908;20;0.372136263;18;AC;;
3PO;24900-18;AC9;21.11810887;26.113;6.917806987;18.58944603;20;0.372136263;18;AC;;
3PO;24901-18;AC9;20.61169849;27.626;7.048340889;18.94021513;20;0.372136263;18;AC;;
3PO;24902-18;AC9;21.14706879;32.31;6.483027517;17.42111198;20;0.372136263;18;AC;;
3PO;24903-18;AC9;21.66110124;34.182;6.307060539;16.94825567;20;0.372136263;18;AC;;
3PO;24904-18;AC9;21.55581234;34.076;6.346226026;17.05350069;20;0.372136263;18;AC;;
3PO;24905-18;AC9;22.21259917;61.338;5.761850979;15.48317523;20;0.372136263;18;AC;;
3PO;24906-18;AC9;22.8107662;111.813;5.470503103;14.7002688;20;0.372136263;18;AC;;
3PO;24907-18;AC9;22.76546982;117.002;5.60012192;15.04857889;20;0.372136263;18;AC;;
3PO;24908-18;AC9;21.95568648;71.577;5.729929642;15.39739661;20;0.372136263;18;AC;;
3PO;24911-18;AC9;18.02662977;4.225;8.775043289;23.58018863;20;0.372136263;18;AC;;
3PO;24914-18;AC9;21.71412645;58.301;6.043485766;16.23998078;20;0.372136263;18;AC;;
3PO;24913-18;AC9;21.67427281;60.1;6.012980417;16.15800718;20;0.372136263;18;AC;;
3PO;24915-18;AC9;21.89942714;63.671;5.67607179;15.25267045;20;0.372136263;18;AC;;
3PO;24917-18;AC9;22.04623423;55.516;5.882482784;15.80733554;20;0.372136263;18;AC;;
3PO;24918-18;AC9;22.07508687;51.816;5.690888156;15.29248481;20;0.372136263;18;AC;;
3PO;24921-18;AC9;20.22309128;6.049;7.546508754;20.2788857;20;0.372136263;18;AC;;
3PO;24922-18;AC9;19.21222746;8.867;8.029999219;21.57811535;20;0.372136263;18;AC;;
3PO;24923-18;AC9;21.74210692;50.376;6.17907601;16.60433722;20;0.372136263;18;AC;;
3PO;24924-18;AC9;21.92163151;36.209;5.931980867;15.94034618;20;0.372136263;18;AC;;
3PO;24925-18;AC9;21.99576386;43.24;6.431917191;17.28376894;20;0.372136263;18;AC;;
3PO;24926-18;AC9;22.27263778;44.46;5.806188707;15.60231903;20;0.372136263;18;AC;;
3PO;24927-18;AC9;20.54695818;8.005;7.119402334;19.13117058;20;0.372136263;18;AC;;
