Well;Depth_Original;Depth;Formation;SampleID;Permeability_Kl;Permeability Kl;Porosity;CP;SW
1PO;2568.81;2570.21;AC12;29722-17;0.45;0.307;15.4288983;8.117088351;66.76414208
1PO;2568.81;2570.21;AC12;29722-17;0.45;0.307;15.4288983;19.98054962;61.56530727
1PO;2571.22;2572.62;AC12;29733-17;3.922;3.362;17.89403974;0.026942866;98.61531919
1PO;2571.22;2572.62;AC12;29733-17;3.922;3.362;17.89403974;0.065478124;97.82331367
1PO;2571.22;2572.62;AC12;29733-17;3.922;3.362;17.89403974;0.156579636;96.87450167
1PO;2571.22;2572.62;AC12;29733-17;3.922;3.362;17.89403974;0.37528423;84.70206772
1PO;2571.22;2572.62;AC12;29733-17;3.922;3.362;17.89403974;0.896340021;66.66135119
1PO;2571.22;2572.62;AC12;29733-17;3.922;3.362;17.89403974;2.147868812;53.99457822
1PO;2571.22;2572.62;AC12;29733-17;3.922;3.362;17.89403974;4.209822871;48.13426886
1PO;2571.22;2572.62;AC12;29733-17;3.922;3.362;17.89403974;8.117088351;43.90580981
1PO;2571.22;2572.62;AC12;29733-17;3.922;3.362;17.89403974;19.98054962;40.49593366
1PO;2571.75;2573.15;AC12;29737-17;10.725;9.695;20.00425721;0.026942866;98.78591762
1PO;2571.75;2573.15;AC12;29737-17;10.725;9.695;20.00425721;0.065478124;97.99274957
1PO;2571.75;2573.15;AC12;29737-17;10.725;9.695;20.00425721;0.156579636;94.61083672
1PO;2571.75;2573.15;AC12;29737-17;10.725;9.695;20.00425721;0.37528423;70.54572881
1PO;2571.75;2573.15;AC12;29737-17;10.725;9.695;20.00425721;0.896340021;57.40736235
1PO;2571.75;2573.15;AC12;29737-17;10.725;9.695;20.00425721;2.147868812;48.00369821
1PO;2571.75;2573.15;AC12;29737-17;10.725;9.695;20.00425721;4.209822871;41.88705871
1PO;2571.75;2573.15;AC12;29737-17;10.725;9.695;20.00425721;8.117088351;37.23023771
1PO;2571.75;2573.15;AC12;29737-17;10.725;9.695;20.00425721;19.98054962;33.01379528
1PO;2571.91;2573.31;AC12;29738-17;6.596;5.826;19.2156809;0.026942866;99.13252169
1PO;2571.91;2573.31;AC12;29738-17;6.596;5.826;19.2156809;0.065478124;98.39504012
1PO;2571.91;2573.31;AC12;29738-17;6.596;5.826;19.2156809;0.156579636;97.12257194
1PO;2571.91;2573.31;AC12;29738-17;6.596;5.826;19.2156809;0.37528423;77.37556561
1PO;2571.91;2573.31;AC12;29738-17;6.596;5.826;19.2156809;0.896340021;60.95847604
1PO;2571.91;2573.31;AC12;29738-17;6.596;5.826;19.2156809;2.147868812;51.33121672
1PO;2571.91;2573.31;AC12;29738-17;6.596;5.826;19.2156809;4.209822871;44.27139322
1PO;2571.91;2573.31;AC12;29738-17;6.596;5.826;19.2156809;8.117088351;40.12149696
1PO;2571.91;2573.31;AC12;29738-17;6.596;5.826;19.2156809;19.98054962;36.42908927
1PO;2572.24;2573.64;AC12;29742-17;3.134;2.648;17.69332072;0.026942866;98.56358033
1PO;2572.24;2573.64;AC12;29742-17;3.134;2.648;17.69332072;0.065478124;97.71405601
1PO;2572.24;2573.64;AC12;29742-17;3.134;2.648;17.69332072;0.156579636;96.48130779
1PO;2572.24;2573.64;AC12;29742-17;3.134;2.648;17.69332072;0.37528423;89.43856358
1PO;2572.24;2573.64;AC12;29742-17;3.134;2.648;17.69332072;0.896340021;71.14565188
1PO;2572.24;2573.64;AC12;29742-17;3.134;2.648;17.69332072;2.147868812;58.8690875
1PO;2572.24;2573.64;AC12;29742-17;3.134;2.648;17.69332072;4.209822871;53.05105186
1PO;2572.24;2573.64;AC12;29742-17;3.134;2.648;17.69332072;8.117088351;50.38992362
1PO;2572.24;2573.64;AC12;29742-17;3.134;2.648;17.69332072;19.98054962;49.77890929
1PO;2572.89;2574.29;AC12;29746-17;16.784;15.444;20.3776536;0.026942866;98.58836283
1PO;2572.89;2574.29;AC12;29746-17;16.784;15.444;20.3776536;0.065478124;97.21443216
1PO;2572.89;2574.29;AC12;29746-17;16.784;15.444;20.3776536;0.156579636;89.05333113
1PO;2572.89;2574.29;AC12;29746-17;16.784;15.444;20.3776536;0.37528423;64.19767634
1PO;2572.89;2574.29;AC12;29746-17;16.784;15.444;20.3776536;0.896340021;51.20542974
1PO;2572.89;2574.29;AC12;29746-17;16.784;15.444;20.3776536;2.147868812;41.76937761
1PO;2572.89;2574.29;AC12;29746-17;16.784;15.444;20.3776536;4.209822871;36.74734287
1PO;2572.89;2574.29;AC12;29746-17;16.784;15.444;20.3776536;8.117088351;32.90599298
1PO;2572.89;2574.29;AC12;29746-17;16.784;15.444;20.3776536;19.98054962;29.91303938
1PO;2574.09;2575.49;AC12;29756-17;4.25;3.621;17.72927575;0.026942866;98.78639394
1PO;2574.09;2575.49;AC12;29756-17;4.25;3.621;17.72927575;0.065478124;97.64685773
1PO;2574.09;2575.49;AC12;29756-17;4.25;3.621;17.72927575;0.156579636;96.19110022
1PO;2574.09;2575.49;AC12;29756-17;4.25;3.621;17.72927575;0.37528423;82.47678195
1PO;2574.09;2575.49;AC12;29756-17;4.25;3.621;17.72927575;0.896340021;63.96786508
1PO;2574.09;2575.49;AC12;29756-17;4.25;3.621;17.72927575;2.147868812;52.96849182
1PO;2574.09;2575.49;AC12;29756-17;4.25;3.621;17.72927575;4.209822871;46.98877557
1PO;2574.09;2575.49;AC12;29756-17;4.25;3.621;17.72927575;8.117088351;42.69842174
1PO;2574.09;2575.49;AC12;29756-17;4.25;3.621;17.72927575;19.98054962;38.79551023
1PO;2574.69;2576.09;AC12;29761-17;3.999;3.436;18.5467496;0.026942866;98.2810319
1PO;2574.69;2576.09;AC12;29761-17;3.999;3.436;18.5467496;0.065478124;97.31944373
1PO;2574.69;2576.09;AC12;29761-17;3.999;3.436;18.5467496;0.156579636;95.60564545
1PO;2574.69;2576.09;AC12;29761-17;3.999;3.436;18.5467496;0.37528423;86.55327509
1PO;2574.69;2576.09;AC12;29761-17;3.999;3.436;18.5467496;0.896340021;70.15974771
1PO;2574.69;2576.09;AC12;29761-17;3.999;3.436;18.5467496;2.147868812;57.79351703
1PO;2574.69;2576.09;AC12;29761-17;3.999;3.436;18.5467496;4.209822871;51.03396578
1PO;2574.69;2576.09;AC12;29761-17;3.999;3.436;18.5467496;8.117088351;46.69647935
1PO;2574.69;2576.09;AC12;29761-17;3.999;3.436;18.5467496;19.98054962;44.24339554
1PO;2575.43;2576.83;AC12;29767-17;2.59;2.121;17.92955215;0.026942866;98.75964642
1PO;2575.43;2576.83;AC12;29767-17;2.59;2.121;17.92955215;0.065478124;97.88129648
1PO;2575.43;2576.83;AC12;29767-17;2.59;2.121;17.92955215;0.156579636;96.72512979
1PO;2575.43;2576.83;AC12;29767-17;2.59;2.121;17.92955215;0.37528423;91.42135541
1PO;2575.43;2576.83;AC12;29767-17;2.59;2.121;17.92955215;0.896340021;77.12642065
1PO;2575.43;2576.83;AC12;29767-17;2.59;2.121;17.92955215;2.147868812;65.50021047
1PO;2575.43;2576.83;AC12;29767-17;2.59;2.121;17.92955215;4.209822871;58.04405781
1PO;2575.43;2576.83;AC12;29767-17;2.59;2.121;17.92955215;8.117088351;53.7813947
1PO;2575.43;2576.83;AC12;29767-17;2.59;2.121;17.92955215;19.98054962;50.43636874
1PO;2575.83;2577.23;AC12;29770-17;8.053;7.194;19.93254653;0.026942866;98.69823922
1PO;2575.83;2577.23;AC12;29770-17;8.053;7.194;19.93254653;0.065478124;97.64177292
1PO;2575.83;2577.23;AC12;29770-17;8.053;7.194;19.93254653;0.156579636;96.30115361
1PO;2575.83;2577.23;AC12;29770-17;8.053;7.194;19.93254653;0.37528423;76.65816636
1PO;2575.83;2577.23;AC12;29770-17;8.053;7.194;19.93254653;0.896340021;60.67516697
1PO;2575.83;2577.23;AC12;29770-17;8.053;7.194;19.93254653;2.147868812;51.66727383
1PO;2575.83;2577.23;AC12;29770-17;8.053;7.194;19.93254653;4.209822871;45.21432908
1PO;2575.83;2577.23;AC12;29770-17;8.053;7.194;19.93254653;8.117088351;40.55616272
1PO;2575.83;2577.23;AC12;29770-17;8.053;7.194;19.93254653;19.98054962;37.55191257
1PO;2576.75;2578.15;AC12;29779-17;0.551;0.388;14.51715561;0.026942866;98.11406646
1PO;2576.75;2578.15;AC12;29779-17;0.551;0.388;14.51715561;0.065478124;96.67360343
1PO;2576.75;2578.15;AC12;29779-17;0.551;0.388;14.51715561;0.156579636;94.94049555
1PO;2576.75;2578.15;AC12;29779-17;0.551;0.388;14.51715561;0.37528423;92.97977499
1PO;2576.75;2578.15;AC12;29779-17;0.551;0.388;14.51715561;0.896340021;86.39851727
1PO;2576.75;2578.15;AC12;29779-17;0.551;0.388;14.51715561;2.147868812;74.41308448
1PO;2576.75;2578.15;AC12;29779-17;0.551;0.388;14.51715561;4.209822871;63.70553424
1PO;2576.75;2578.15;AC12;29779-17;0.551;0.388;14.51715561;8.117088351;57.7323275
1PO;2576.75;2578.15;AC12;29779-17;0.551;0.388;14.51715561;19.98054962;54.47421474
1PO;2582.78;2584.18;AC12;29792-17;1.762;1.399;19.16603308;0.026942866;98.83280128
1PO;2582.78;2584.18;AC12;29792-17;1.762;1.399;19.16603308;0.065478124;98.01476457
1PO;2582.78;2584.18;AC12;29792-17;1.762;1.399;19.16603308;0.156579636;96.95480846
1PO;2582.78;2584.18;AC12;29792-17;1.762;1.399;19.16603308;0.37528423;93.52324421
1PO;2582.78;2584.18;AC12;29792-17;1.762;1.399;19.16603308;0.896340021;81.29279729
1PO;2582.78;2584.18;AC12;29792-17;1.762;1.399;19.16603308;2.147868812;62.78521548
1PO;2582.78;2584.18;AC12;29792-17;1.762;1.399;19.16603308;4.209822871;55.08705108
1PO;2582.78;2584.18;AC12;29792-17;1.762;1.399;19.16603308;8.117088351;50.85604549
1PO;2582.78;2584.18;AC12;29792-17;1.762;1.399;19.16603308;19.98054962;47.29958101
1PO;2583.72;2585.12;AC12;29799-17;3.056;2.579;18.744285;0.026942866;99.08467989
1PO;2583.72;2585.12;AC12;29799-17;3.056;2.579;18.744285;0.065478124;97.78584578
1PO;2583.72;2585.12;AC12;29799-17;3.056;2.579;18.744285;0.156579636;96.34894661
1PO;2583.72;2585.12;AC12;29799-17;3.056;2.579;18.744285;0.37528423;89.88801391
1PO;2583.72;2585.12;AC12;29799-17;3.056;2.579;18.744285;0.896340021;73.63724688
1PO;2583.72;2585.12;AC12;29799-17;3.056;2.579;18.744285;2.147868812;62.88351401
1PO;2583.72;2585.12;AC12;29799-17;3.056;2.579;18.744285;4.209822871;56.00327265
1PO;2583.72;2585.12;AC12;29799-17;3.056;2.579;18.744285;8.117088351;52.0812027
1PO;2583.72;2585.12;AC12;29799-17;3.056;2.579;18.744285;19.98054962;49.07700961
1PO;2584.78;2586.18;AC12;29808-17;2.674;2.192;18.53522441;0.026942866;98.51676698
1PO;2584.78;2586.18;AC12;29808-17;2.674;2.192;18.53522441;0.065478124;97.64886071
1PO;2584.78;2586.18;AC12;29808-17;2.674;2.192;18.53522441;0.156579636;96.64122958
1PO;2584.78;2586.18;AC12;29808-17;2.674;2.192;18.53522441;0.37528423;92.87940671
1PO;2584.78;2586.18;AC12;29808-17;2.674;2.192;18.53522441;0.896340021;75.18003009
1PO;2584.78;2586.18;AC12;29808-17;2.674;2.192;18.53522441;2.147868812;61.76375752
1PO;2584.78;2586.18;AC12;29808-17;2.674;2.192;18.53522441;4.209822871;54.69690456
1PO;2584.78;2586.18;AC12;29808-17;2.674;2.192;18.53522441;8.117088351;49.2100172
1PO;2584.78;2586.18;AC12;29808-17;2.674;2.192;18.53522441;19.98054962;45.45088134
1PO;2585.32;2586.72;AC12;29813-17;2.089;1.679;18.04277829;0.026942866;98.44286513
1PO;2585.32;2586.72;AC12;29813-17;2.089;1.679;18.04277829;0.065478124;97.55383428
1PO;2585.32;2586.72;AC12;29813-17;2.089;1.679;18.04277829;0.156579636;96.54502382
1PO;2585.32;2586.72;AC12;29813-17;2.089;1.679;18.04277829;0.37528423;94.309963
1PO;2585.32;2586.72;AC12;29813-17;2.089;1.679;18.04277829;0.896340021;82.10391546
1PO;2585.32;2586.72;AC12;29813-17;2.089;1.679;18.04277829;2.147868812;67.81388911
1PO;2585.32;2586.72;AC12;29813-17;2.089;1.679;18.04277829;4.209822871;59.80728792
1PO;2585.32;2586.72;AC12;29813-17;2.089;1.679;18.04277829;8.117088351;53.98333733
1PO;2585.32;2586.72;AC12;29813-17;2.089;1.679;18.04277829;19.98054962;50.34469909
1PO;2585.89;2587.29;AC12;29819-17;3.357;2.79;17.87307132;0.026942866;98.61422289
1PO;2585.89;2587.29;AC12;29819-17;3.357;2.79;17.87307132;0.065478124;97.77058612
1PO;2585.89;2587.29;AC12;29819-17;3.357;2.79;17.87307132;0.156579636;96.79141427
1PO;2585.89;2587.29;AC12;29819-17;3.357;2.79;17.87307132;0.37528423;90.58169447
1PO;2585.89;2587.29;AC12;29819-17;3.357;2.79;17.87307132;0.896340021;70.97059718
1PO;2585.89;2587.29;AC12;29819-17;3.357;2.79;17.87307132;2.147868812;59.13202224
1PO;2585.89;2587.29;AC12;29819-17;3.357;2.79;17.87307132;4.209822871;53.37316405
1PO;2585.89;2587.29;AC12;29819-17;3.357;2.79;17.87307132;8.117088351;48.58794568
1PO;2585.89;2587.29;AC12;29819-17;3.357;2.79;17.87307132;19.98054962;44.25082289
1PO;2586.96;2588.86;AC12;29827-17;5.68;4.98;18.32809704;0.026942866;98.60259297
