Fields;Wells;Direction;SampleID;Depth;Zones;Lith Description;Bulk Density Water;Grain Desnsity Water;Bulk Density Kerosin;Grain Desnsity Kerosin;Bulk Density Helium;Grain Desnsity Helium;Bulk Density;Bulk Density Sat;Grain Desnsity;Water Porosity;Kerosin Porosity;Helium Porosity;Porosity;Gas Permeability;Permeability_Kl;Swirr(waterholding capacity);Swirr;Comments;SW;SO
Zapadno-Zimnee;1PO;пар;26306-17;2269.52;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, глинисто-алевритовый, с тонкими слойками углистого материала.;;;;;;;2.167161683;2.364859975;2.669852407;18.82840873;;18.6;18.82840873;20.965;19.447;;;;;
Zapadno-Zimnee;1PO;пар;26307-17;2269.52;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, глинисто-алевритовый, с тонкими слойками углистого материала.;;;;;;;2.170752493;2.366638198;2.668600832;18.65578143;;17.9;18.65578143;22.25;20.68;;;;;
Zapadno-Zimnee;1PO;пар;26308-17;2269.63;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, глинисто-алевритовый, с тонкими слойками углистого материала.;;;;;;;2.144617067;2.351241737;2.670042436;19.67854001;;19.18;19.67854001;32.374;30.431;;;;;
Zapadno-Zimnee;1PO;пар;26309-17;2269.63;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, глинисто-алевритовый, с тонкими слойками углистого материала.;;;;;;;2.156201859;2.357981452;2.669131671;19.21710412;;18.83;19.21710412;20.004;18.533;;;;;
Zapadno-Zimnee;1PO;пар;26310-17;2269.68;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, глинисто-алевритовый, с тонкими слойками углистого материала.;;;;;;;2.187178556;2.37765985;2.671887729;18.1410756;;17.49;18.1410756;9.237;8.306;;38.13350635;;;
Zapadno-Zimnee;1PO;пар;26311-17;2269.68;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, глинисто-алевритовый, с тонкими слойками углистого материала.;;;;;;;2.192185599;2.380472289;2.671184084;17.9320657;;17.47;17.9320657;9.879;8.909;;;;;
Zapadno-Zimnee;1PO;пар;26312-17;2269.8;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, глинисто-алевритовый, с тонкими слойками углистого материала.;;;;;;;2.254895948;2.421881693;2.681316562;15.90340432;;15.46;15.90340432;2.89;2.552;;46.90168563;;56.2;
Zapadno-Zimnee;1PO;пар;26314-17;2269.91;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, глинисто-алевритовый, с тонкими слойками углистого материала.;;;;;;;2.205625298;2.391984523;2.681562324;17.74849766;;17.25;17.74849766;4.691;4.075;;;;;
Zapadno-Zimnee;1PO;пар;26313-17;2269.91;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, глинисто-алевритовый, с тонкими слойками углистого материала.;;;;;;;2.199386823;2.388060829;2.681163904;17.96895295;;17.24;17.96895295;4.354;3.764;;;;;
Zapadno-Zimnee;1PO;пар;26315-17;2269.97;AC9;Песчаник  нефтенасыщенный, тонкозернистый, алевритистый, с тонкими слойками углистого материала и алевролита крупнозернистого, глинистого.;;;;;;;2.296262786;2.452671824;2.698187458;14.8960989;;13.98;14.8960989;1.27;0.988;;;;;
Zapadno-Zimnee;1PO;пар;26316-17;2270.19;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, а глинисто-алевритовый, со слойками углистого материала.;;;;;;;2.187225109;2.381318949;2.683222148;18.48512763;;18.17;18.48512763;9.045;8.375;;35.25003478;;46.1;
Zapadno-Zimnee;1PO;пар;26317-17;2270.34;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, алевритистый, с тонкими слойками углистого материала.;;;;;;;2.112304525;2.336404645;2.685458377;21.34286857;;20.56;21.34286857;68.6;65.582;;;;;
Zapadno-Zimnee;1PO;пар;26318-17;2270.34;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, алевритистый, с тонкими слойками углистого материала.;;;;;;;2.113592583;2.337285639;2.685772193;21.30410062;;20.59;21.30410062;68.49;65.534;;;;;
Zapadno-Zimnee;1PO;пар;26319-17;2270.41;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, глинисто-алевритовый, с тонкими слойками углистого материала.;;;;;;;2.171249367;2.371155565;2.681835617;19.03868553;;18.27;19.03868553;10.765;9.748;;;;;
Zapadno-Zimnee;1PO;пар;26320-17;2270.41;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, глинисто-алевритовый, с тонкими слойками углистого материала.;;;;;;;2.178005;2.370722025;2.66762;;18.354;;18.354;;;;;;;
Zapadno-Zimnee;1PO;пар;26321-17;2270.54;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, глинисто-алевритовый, с тонкими слойками углистого материала.;;;;;;;2.19285457;2.386867322;2.689873362;18.47740489;;17.81;18.47740489;9.653;8.701;;39.05035386;;;
Zapadno-Zimnee;1PO;пар;26322-17;2270.54;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, глинисто-алевритовый, с тонкими слойками углистого материала.;;;;;;;2.192529475;2.386624188;2.689732128;18.48521074;;17.82;18.48521074;9.055;8.14;50.41322314;39.91962999;;;
