Well;SampleID;Zone;Porosity;Permeability_Kl;Rt;Sw;RI;Temp;Rw;Salinity;Condition
3PO;25298-18;AC12;18.82895926;1.657;9.635300309;91.39520437;1.142405986;20;0.379900033;17.6;AC
3PO;25303-18;AC12;17.93080752;1.602;10.60122682;90.38174968;1.183022118;20;0.379900033;17.6;AC
3PO;25308-18;AC12;18.27379695;1.965;10.75221482;89.10413457;1.247176866;20;0.379900033;17.6;AC
3PO;25321-18;AC12;17.32309625;1.063;10.63420456;92.94483335;1.153531982;20;0.379900033;17.6;AC
3PO;25326-18;AC12;18.59793243;3.505;12.45024026;79.5929511;1.504974654;20;0.379900033;17.6;AC
3PO;25328-18;AC12;17.2405541;0.922;10.53383446;92.06746607;1.156031351;20;0.379900033;17.6;AC
3PO;25336-18;AC12;18.51966239;3.993;12.54405929;79.29176289;1.469571115;20;0.379900033;17.6;AC
3PO;25342-18;AC12;18.01847946;3.304;13.33696686;80.14857143;1.49465864;20;0.379900033;17.6;AC
3PO;25351-18;AC12;18.05182455;4.45;14.59620443;76.19163096;1.605010257;20;0.379900033;17.6;AC
3PO;25374-18;AC12;18.35497356;6.815;14.96735879;71.70873932;1.748063455;20;0.379900033;17.6;AC
3PO;25381-18;AC12;17.85633459;2.313;12.87595604;83.73198444;1.358352001;20;0.379900033;17.6;AC
3PO;25391-18;AC12;16.79409749;2.744;14.04875991;82.86211707;1.365923051;20;0.379900033;17.6;AC
3PO;25402-18;AC12;17.22631105;4.324;13.76049798;78.34120013;1.501703913;20;0.379900033;17.6;AC
3PO;25407-18;AC12;17.13199901;2.571;13.10739117;84.06318294;1.358415089;20;0.379900033;17.6;AC
8PO;24699-18;AC12;12.03665451;0.264;19.95401947;93.38643282;1.142181649;20;0.379900033;17.6;AC
8PO;24756-18;AC12;14.60176991;2.291;17.00836481;84.3643252;1.312310242;20;0.379900033;17.6;AC
8PO;24757-18;AC12;14.17313955;2.018;18.06365961;82.86089912;1.398630732;20;0.379900033;17.6;AC
8PO;24759-18;AC12;13.23542805;0.879;17.31937941;93.78956712;1.133524817;20;0.379900033;17.6;AC
8PO;24766-18;AC12;15.82536777;0.769;13.59864865;91.5174229;1.173341964;20;0.379900033;17.6;AC
1PO;29701-17;AC11;12.20948002;0.273;20.2547906;0.931507373;1.124008721;20;0.379900033;17.6;AC
1PO;29712-17;AC11;9.613652354;0.536;28.05632657;0.92215234;1.157365355;20;0.379900033;17.6;AC
2PO;23872-18;AC11;19.99838204;7.301;12.2863054;69.26523094;1.777451945;20;0.379900033;17.6;AC
2PO;23871-18;AC11;20.12349714;6.608;12.8337943;70.01778758;1.871740824;20;0.379900033;17.6;AC
2PO;23876-18;AC11;18.20848834;1.721;8.814385846;90.19680654;1.167176474;20;0.379900033;17.6;AC
2PO;23880-18;AC11;20.11414963;9.283;12.28479788;70.22914193;1.792728856;20;0.379900033;17.6;AC
2PO;23898-18;AC11;20.83794899;14.436;14.18509806;62.81392756;2.271389213;20;0.379900033;17.6;AC
2PO;23906-18;AC11;21.22656813;13.378;12.83672023;62.92586463;2.127715251;20;0.379900033;17.6;AC
2PO;23911-18;AC11;21.8363918;31.733;15.3853099;57.12501791;2.636388006;20;0.379900033;17.6;AC
2PO;23934-18;AC11;20.14271413;11.557;12.91460816;64.56329015;2.006647208;20;0.379900033;17.6;AC
2PO;23936-18;AC11;20.3174105;9.959;13.1836175;66.38200284;2.121263727;20;0.379900033;17.6;AC
2PO;23938-18;AC11;20.24778261;8.451;12.50110362;69.78810816;1.930128794;20;0.379900033;17.6;AC
2PO;23945-18;AC11;21.3338692;13.688;12.28771091;63.69294606;2.083645362;20;0.379900033;17.6;AC
2PO;23947-18;AC11;20.62262509;12.483;13.19587776;62.70342884;2.225481301;20;0.379900033;17.6;AC
2PO;23953-18;AC11;20.35935104;6.384;11.2897611;72.63276075;1.776551258;20;0.379900033;17.6;AC
